"user_id";"full_name";"email";"password_hash";"phone";"user_type";"status";"created_at";"updated_at"
1;"Ahmed Khan";"ahmed.khan1@email.com";"$2b$12$HASH0001";"03011677064";"provider";"inactive";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
2;"Sara Ali";"sara.ali2@email.com";"$2b$12$HASH0002";"03033166793";"provider";"inactive";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
3;"Bilal Raza";"bilal.raza3@email.com";"$2b$12$HASH0003";"03032055750";"provider";"active";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
4;"Hina Yousaf";"hina.yousaf4@email.com";"$2b$12$HASH0004";"03021723155";"provider";"active";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
5;"Usman Tariq";"usman.tariq5@email.com";"$2b$12$HASH0005";"03027837180";"provider";"active";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
6;"Ayesha Malik";"ayesha.malik6@email.com";"$2b$12$HASH0006";"03025177737";"provider";"active";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
7;"Zain Hussain";"zain.hussain7@email.com";"$2b$12$HASH0007";"03021062541";"provider";"inactive";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
8;"Nadia Iqbal";"nadia.iqbal8@email.com";"$2b$12$HASH0008";"03006349029";"provider";"inactive";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
9;"Hamza Siddiqui";"hamza.siddiqui9@email.com";"$2b$12$HASH0009";"03039065258";"provider";"active";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
10;"Fatima Chaudhry";"fatima.chaudhry10@email.com";"$2b$12$HASH0010";"03002897584";"provider";"active";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
11;"Ali Sheikh";"ali.sheikh11@email.com";"$2b$12$HASH0011";"03013833530";"provider";"active";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
12;"Rabia Mirza";"rabia.mirza12@email.com";"$2b$12$HASH0012";"03006309934";"provider";"active";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
13;"Hassan Butt";"hassan.butt13@email.com";"$2b$12$HASH0013";"03038607066";"provider";"active";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
14;"Maria Qureshi";"maria.qureshi14@email.com";"$2b$12$HASH0014";"03007733159";"provider";"active";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
15;"Imran Ansari";"imran.ansari15@email.com";"$2b$12$HASH0015";"03023443185";"provider";"active";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
16;"Sana Javed";"sana.javed16@email.com";"$2b$12$HASH0016";"03002117563";"provider";"inactive";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
17;"Tariq Nawaz";"tariq.nawaz17@email.com";"$2b$12$HASH0017";"03008846949";"provider";"active";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
18;"Amna Baig";"amna.baig18@email.com";"$2b$12$HASH0018";"03033775687";"provider";"inactive";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
19;"Faisal Rehman";"faisal.rehman19@email.com";"$2b$12$HASH0019";"03019537836";"provider";"active";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
20;"Zara Abbasi";"zara.abbasi20@email.com";"$2b$12$HASH0020";"03022951467";"provider";"active";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
21;"Junaid Hashmi";"junaid.hashmi21@email.com";"$2b$12$HASH0021";"03028067064";"provider";"active";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
22;"Iram Rizvi";"iram.rizvi22@email.com";"$2b$12$HASH0022";"03003710704";"provider";"active";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
23;"Kamran Shah";"kamran.shah23@email.com";"$2b$12$HASH0023";"03006496243";"provider";"active";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
24;"Sobia Awan";"sobia.awan24@email.com";"$2b$12$HASH0024";"03012913037";"provider";"active";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
25;"Waqas Zaidi";"waqas.zaidi25@email.com";"$2b$12$HASH0025";"03006100484";"provider";"active";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
26;"Farah Bhatti";"farah.bhatti26@email.com";"$2b$12$HASH0026";"03001018886";"customer";"active";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
27;"Omer Gilani";"omer.gilani27@email.com";"$2b$12$HASH0027";"03026128447";"customer";"active";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
28;"Mehwish Naqvi";"mehwish.naqvi28@email.com";"$2b$12$HASH0028";"03026827358";"customer";"inactive";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
29;"Danish Cheema";"danish.cheema29@email.com";"$2b$12$HASH0029";"03037356720";"customer";"active";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
30;"Shazia Gul";"shazia.gul30@email.com";"$2b$12$HASH0030";"03036057670";"customer";"active";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
31;"Asad Niazi";"asad.niazi31@email.com";"$2b$12$HASH0031";"03009420754";"customer";"active";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
32;"Noor Khattak";"noor.khattak32@email.com";"$2b$12$HASH0032";"03027403635";"customer";"active";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
33;"Shahzad Afridi";"shahzad.afridi33@email.com";"$2b$12$HASH0033";"03014485046";"customer";"active";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
34;"Huma Yusuf";"huma.yusuf34@email.com";"$2b$12$HASH0034";"03002772897";"customer";"inactive";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
35;"Rizwan Saeed";"rizwan.saeed35@email.com";"$2b$12$HASH0035";"03037754187";"customer";"active";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
36;"Saima Rashid";"saima.rashid36@email.com";"$2b$12$HASH0036";"03035913630";"customer";"active";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
37;"Adnan Mehmood";"adnan.mehmood37@email.com";"$2b$12$HASH0037";"03031563844";"customer";"inactive";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
38;"Uzma Zulfiqar";"uzma.zulfiqar38@email.com";"$2b$12$HASH0038";"03006140459";"customer";"active";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
39;"Nadeem Haider";"nadeem.haider39@email.com";"$2b$12$HASH0039";"03029186196";"customer";"active";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
40;"Samia Bokhari";"samia.bokhari40@email.com";"$2b$12$HASH0040";"03029492792";"customer";"active";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
41;"Farhan Durrani";"farhan.durrani41@email.com";"$2b$12$HASH0041";"03039066420";"customer";"active";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
42;"Rukhsar Lodhi";"rukhsar.lodhi42@email.com";"$2b$12$HASH0042";"03001732490";"customer";"active";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
43;"Salman Wali";"salman.wali43@email.com";"$2b$12$HASH0043";"03022742747";"customer";"active";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
44;"Aisha Kiyani";"aisha.kiyani44@email.com";"$2b$12$HASH0044";"03027335964";"customer";"active";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
45;"Waseem Gondal";"waseem.gondal45@email.com";"$2b$12$HASH0045";"03029944147";"customer";"active";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
46;"Lubna Asghar";"lubna.asghar46@email.com";"$2b$12$HASH0046";"03003515240";"both";"active";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
47;"Naeem Toor";"naeem.toor47@email.com";"$2b$12$HASH0047";"03032430837";"both";"active";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
48;"Madiha Bajwa";"madiha.bajwa48@email.com";"$2b$12$HASH0048";"03003561338";"both";"inactive";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
49;"Babar Warraich";"babar.warraich49@email.com";"$2b$12$HASH0049";"03029024183";"both";"inactive";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
50;"Gulnaz Sandhu";"gulnaz.sandhu50@email.com";"$2b$12$HASH0050";"03009480539";"both";"inactive";"2026-05-15 22:46:35";"2026-05-15 22:46:35"
